Per Capita Healthcare Spending vs. Average Life Expectancy OECD Countries 2011,
,
77.2207078,907.1040842
80.98081055,1487.329143
78.67082277,1627.112618
83.6140862,1914.747542
81.03941973,1932.822908
84.51113118,2107.855285
83.08638378,2319.25173
85.21416981,2847.481021
85.39851785,3019.740032
85.85875442,3202.35553
83.11180308,3270.904221
82.68716128,3523.639337
84.1930668,3585.652194
85.67681125,3971.605859
83.50514269,4263.362044
81.87303284,4292.356327
83.17201551,4344.070879
83.56566542,5458.013778
84.99144717,5651.567588
81.10135177,8179.219363
,
Which country do you guess is the one to the far right?,
,
Source: https://plot.ly/~AnnaG/3/per-capita-healthcare-spending-vs-average-life-expectancy-oecd-countries-2011/,
